id,artist,song,difficulty,seizure_warning,description,max_bpm,min_bpm,last_updated,single_player,two_player,thumb,url,url2,icon,hue,tags,authors,has_classics,has_oneshots,has_squareshots,has_swing,has_freetimes,has_holds,source_id,source_iid,id:1,uploaded,approval,kudos
14fToC1BqdAnoZpoB59fN,CERiNG,frail,1,1,"A lost woman's memories, laid bare.
Intro character sprite by noche.",140.0,140.0,1600784110,1,0,https://codex.rhythm.cafe/GXgz1wPMyMTCMVYEayhigs.png,https://cdn.discordapp.com/attachments/611380148431749151/757953375953485923/CERiNG_-_frail.rdzip,https://codex.rhythm.cafe/ALrSLhCKdpXiRVsivi2Xt5.rdzip,https://codex.rhythm.cafe/Wqn4txPvrM3FLHDXgnuaNx.png,0.07,"[""CUBE????""]","[""Samario"",""Xeno""]",1,1,0,1,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/757953375953485923/CERiNG_-_frail.rdzip,14fToC1BqdAnoZpoB59fN,1636984107,10,0
14fmyRsqxAxr4qDX41FGjR,Chongo,Once Upon The Beginning,1,0,Welcome to the beginning.,65.5,65.5,1578685742,1,0,https://codex.rhythm.cafe/Kd4WqtbhbyxprA7t6xkXLK.png,https://cdn.discordapp.com/attachments/611380148431749151/665372213381431306/Chongo_-_Once_Upon_The_Beginning.rdzip,https://codex.rhythm.cafe/6iaVKuMXNm1NY6fdfALPhS.rdzip,,0.0,[],"[""Goldfish22""]",1,0,0,0,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/665372213381431306/Chongo_-_Once_Upon_The_Beginning.rdzip,14fmyRsqxAxr4qDX41FGjR,1636984107,10,0
17JpC3R2pPxHsPGdNcTuse,Rozebud,LOVE VIBE,2,0,"INTRODUCING THE VIBE CHECKER 9000, FAILS 0% OF THE TIME AND FLAWLESSLY (AND PAINLESSLY) CHECKS THE VIBE OF A PATIENT.	",114.0,114.0,1612964626,1,0,https://codex.rhythm.cafe/DpSpdE8WNaAReqmHwEuMvo.png,https://cdn.discordapp.com/attachments/611380148431749151/809147841481146388/Rozebud_-_LOVE_VIBE.rdzip,https://codex.rhythm.cafe/L99KB9wGwC45WicNmTLZgX.rdzip,,0.89,"[""long"",""1p"",""chill""]","[""Big Ounce""]",1,1,0,0,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/809147841481146388/Rozebud_-_LOVE_VIBE.rdzip,17JpC3R2pPxHsPGdNcTuse,1636984107,10,0
1fzwCa7Th6X9Sxae3ss89,maritumix,514,2,0,"Beats from the subconscious...
RDSRT 2 Block C REVENGEANCE",160.0,135.0,1584290610,1,0,https://codex.rhythm.cafe/YAkCpKKTN41y3nNyJkTNtr.png,https://cdn.discordapp.com/attachments/611380148431749151/691419010830696448/maritumix_-_514_Revengeance.rdzip,https://codex.rhythm.cafe/PzuU459MnyrNaRf1sN6tyC.rdzip,https://codex.rhythm.cafe/PidfcYdhF8kFxn7Gfu3pYw.png,0.42,"[""RDSRT2"",""Touhou""]","[""void""]",1,0,0,1,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/691419010830696448/maritumix_-_514_Revengeance.rdzip,1fzwCa7Th6X9Sxae3ss89,1636108593,10,0
22JqKHH7yxNbGUuTabMaad,Toby Fox,Amalgam,1,1,"Ajd la daje ad ajsr ak? lr audo si eo'r irj!
Akdlfo alsl a;s o wa!",180.0,180.0,1610161840,1,0,https://codex.rhythm.cafe/9gxrYkSCj4eyXTnEkw8kSH.png,https://cdn.discordapp.com/attachments/611380148431749151/797377480117452807/Toby_Fox_-_Amalgam.rdzip,https://codex.rhythm.cafe/8GJqEoGVG3S6EnkWPpagyR.rdzip,,0.35,"[""earthbound"",""mother"",""undertale"",""weird\nmher\r\nweird\r\nundertale""]","[""Het""]",1,1,0,0,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/797377480117452807/Toby_Fox_-_Amalgam.rdzip,22JqKHH7yxNbGUuTabMaad,1636984107,10,0
25h4wRLrtsj82XwYNjYZQa,Stijn van Wakeren,Long Way From the Fairway,1,1,Welcome to W?nd!r W@ck$ts!,170.0,170.0,1600530920,1,0,https://codex.rhythm.cafe/A3gfaku3XjzAeSgHBXCZCN.png,https://cdn.discordapp.com/attachments/611380148431749151/757012244180762654/Stijn_van_Wakeren_-_Long_Way_From_the_Fairway.rdzip,https://codex.rhythm.cafe/WfffFG2ow3dJdGNpQGaEwp.rdzip,,0.66,"[""glitch"",""compo"",""smol""]","[""Spriter""]",1,1,0,0,0,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/757012244180762654/Stijn_van_Wakeren_-_Long_Way_From_the_Fairway.rdzip,25h4wRLrtsj82XwYNjYZQa,1636940011,10,0
25z73mT2vj5TpMu5wfveaQ,Set It Off,Killer in the Mirror,2,1,"(explicit lyrics!)
never let your guard down",180.0,180.0,1597499338,1,0,https://codex.rhythm.cafe/P2R5s56czLjhg3FeiGL2ZY.png,https://cdn.discordapp.com/attachments/611380148431749151/744701874728468541/Set_It_Off_-_Killer_in_the_Mirror.rdzip,https://codex.rhythm.cafe/XvmE5JU5cbQE3yUd96be53.rdzip,https://codex.rhythm.cafe/3dzvAzzLMFbp9PaHUnYcz7.png,0.6,"[""alternative"",""rock"",""rdvs""]","[""okamii""]",1,1,1,1,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/744701874728468541/Set_It_Off_-_Killer_in_the_Mirror.rdzip,25z73mT2vj5TpMu5wfveaQ,1636984107,10,0
271UfVVqSV7vw1TmZcw4gR,Riya,Artificial Chariot,1,0,Original from A Dance of Fire and Ice,320.0,160.0,1616698890,1,0,https://codex.rhythm.cafe/TTv7PftKqjrdk6Li6W9cve.png,https://cdn.discordapp.com/attachments/611380148431749151/824720377530941470/Riya_-_Artificial_Chariot.rdzip,https://codex.rhythm.cafe/HbEC5tKr5yYWUCw82d2mpQ.rdzip,https://codex.rhythm.cafe/4M86SiJx8jvQM2E96N51QB.png,0.74,"[""adofai"",""riya"",""tvhead"",""bios""]","[""ZesT""]",1,1,0,1,1,0,rdl,https://cdn.discordapp.com/attachments/611380148431749151/824720377530941470/Riya_-_Artificial_Chariot.rdzip,271UfVVqSV7vw1TmZcw4gR,1636984107,10,0
274QGx8M5jy82GRQHRf1rC,ak+q,radiance of cathartika,1,0,,186.0,186.0,1613936944,1,0,https://codex.rhythm.cafe/LVgt6ATDiu7LUDCF12od2U.png,https://cdn.discordapp.com/attachments/611380148431749151/813135406798995516/akq_-_radiance_of_cathartika.rdzip,https://codex.rhythm.cafe/5r7T84V87E3LBBRxj6Hvuf.rdzip,,0.98,[],"[""moplo""]",1,0,0,1,0,0,rdl,https://cdn.discordapp.com/attachments/611380148431749151/813135406798995516/akq_-_radiance_of_cathartika.rdzip,274QGx8M5jy82GRQHRf1rC,1636984107,10,0
28fbDqhteri5mfJcQZ9mJA,Various,Classy Medley,1,1,"4th in Competition 7: ""Medley/Mashup""
The annual 'Classica Musica' gathering has begun, although someone else has other plans...",138.0,98.5,1588374304,1,0,https://codex.rhythm.cafe/VpE75jMvWbW5wLYHkPsuZU.png,https://cdn.discordapp.com/attachments/611380148431749151/705905325026312192/Various_-_Classy_Medley.rdzip,https://codex.rhythm.cafe/SMLT2Y3rXm2nKZ5HytbLEd.rdzip,https://codex.rhythm.cafe/WbwhfZdEP8vvAdGdj8jKF6.png,0.15,"[""Compo7"",""medley"",""classical music""]","[""Albertalberto"",""Xeno""]",1,1,1,1,1,0,yeoldesheet,https://cdn.discordapp.com/attachments/611380148431749151/705905325026312192/Various_-_Classy_Medley.rdzip,28fbDqhteri5mfJcQZ9mJA,1636984107,10,0
